company|title|location|link
tabby  تابي|senior data analyst, wfm|armenia, quindío, colombia|https://www.linkedin.com/jobs/view/4369627460
scalejet  ecommerce hr agency|inventory planning & operations analyst (data analyst)|sofia, sofia city, worldwide|https://www.linkedin.com/jobs/view/4401130931
tabby  تابي|senior data analyst, wfm|sofia, sofia city, worldwide|https://www.linkedin.com/jobs/view/4371008203
nexo|senior data analyst|sofia, sofia city, worldwide|https://www.linkedin.com/jobs/view/4380201052
rover.com|lead data analyst - product analytics  assisted relocation to barcelona|tallinn, harjumaa, worldwide|https://www.linkedin.com/jobs/view/4382278716
groupe sii|data analyst h/f|paris, île-de-france, france|https://www.linkedin.com/jobs/view/4362395292
sunrise|senior data analyst|lille, hauts-de-france, france|https://www.linkedin.com/jobs/view/4335654496
sunrise|senior data analyst|paris, île-de-france, france|https://www.linkedin.com/jobs/view/4335784296
sunrise|senior data analyst|toulouse, occitanie, france|https://www.linkedin.com/jobs/view/4335694334
sunrise|senior data analyst|bordeaux, nouvelle-aquitaine, france|https://www.linkedin.com/jobs/view/4335684249
byteware inc|entry level to senior level data analyst (multiple positions):|ga, suwanee, worldwide|https://www.linkedin.com/jobs/view/4304647823
ss&c technologies|sr. data analyst|georgia, united states|https://www.linkedin.com/jobs/view/4399433566
amazon|deu business development intern - 12 months, amazon university talent acquisition|munich, bavaria, germany|https://www.linkedin.com/jobs/view/4364026859
amazon|deu business development intern - 6 months, amazon university talent acquisition|munich, bavaria, germany|https://www.linkedin.com/jobs/view/4359465731
flummox|intern - b2b sales & business development (europe)|germany|https://www.linkedin.com/jobs/view/4395575240
winch industry gmbh|data analyst (m/w/d)|gersthofen, bavaria, germany|https://www.linkedin.com/jobs/view/4401927946
iventuregroup|data analyst (w/m/d)|hamburg, germany|https://www.linkedin.com/jobs/view/4359352527
smartbox group|gtm data & performance analyst|dublin, county dublin, ireland|https://www.linkedin.com/jobs/view/4402939991
amazon|senior finance analyst, data centre finance - emea|dublin, county dublin, ireland|https://www.linkedin.com/jobs/view/4387894350
amazon|senior finance analyst, emea data center finance|dublin, county dublin, ireland|https://www.linkedin.com/jobs/view/4392963032
amazon|ita business development intern - 6 months, amazon university talent acquisition|milan, lombardy, italy|https://www.linkedin.com/jobs/view/4386962489
scalejet  ecommerce hr agency|inventory planning & operations analyst (data analyst)|pesaro, marche, italy|https://www.linkedin.com/jobs/view/4400747938
pwc italy|customer data analyst|milan, lombardy, italy|https://www.linkedin.com/jobs/view/4266636870
amazon|business analyst intern 2026|luxembourg, luxembourg, luxembourg|https://www.linkedin.com/jobs/view/4399216061
acca careers|business analyst intern 2026|kirchberg, luxembourg, luxembourg|https://www.linkedin.com/jobs/view/4405223829
amazon|business intelligence intern|luxembourg, luxembourg, luxembourg|https://www.linkedin.com/jobs/view/4314152359
bol|senior data analyst – advertising|utrecht, utrecht, netherlands|https://www.linkedin.com/jobs/view/4389707995
scalejet  ecommerce hr agency|inventory planning & operations analyst (data analyst)|warsaw, mazowieckie, poland|https://www.linkedin.com/jobs/view/4401146011
tabby  تابي|senior data analyst, wfm|warsaw, mazowieckie, poland|https://www.linkedin.com/jobs/view/4368390042
motorola solutions|senior procurement data analyst|cracow, małopolskie, poland|https://www.linkedin.com/jobs/view/4393546468
tabby  تابي|senior data analyst, wfm|lisboa, lisbon, portugal|https://www.linkedin.com/jobs/view/4368385052
